"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Apr 12 19:16:32 UTC 2026","Sun Apr 12 19:16:32 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowHeaderAndStatsTest","com.qa.tests.TaskFlowHeaderAndStatsTest","tc03_verifyLoggedInUser","TC-03: Verify the logged-in username is shown in the header user pill","Checks:
 1. The user pill element is rendered
 2. The username text is non-empty (simulating an authenticated session)
"
"broken","Sun Apr 12 19:16:31 UTC 2026","Sun Apr 12 19:16:31 UTC 2026","1","Surefire suite","Surefire test","com.qa.tests.TaskFlowAddTaskTest","com.qa.tests.TaskFlowAddTaskTest","openApplication","openApplication",""
"skipped","Sun Apr 12 19:16:31 UTC 2026","Sun Apr 12 19:16:31 UTC 2026","1","Surefire suite","Surefire test","com.qa.tests.TaskFlowAddTaskTest","com.qa.tests.TaskFlowAddTaskTest","tc11_filterCompleted_showsOnlyCompletedTasks","TC-11: Verify the 'Completed' filter shows only completed tasks","Steps:
 1. Click the 'Completed' filter button
 2. Read the visible task count from the list
 3. Verify it equals the 'Completed' count shown in the stats strip
 4. Click 'All' to reset the filter
"
"skipped","Sun Apr 12 19:16:32 UTC 2026","Sun Apr 12 19:16:32 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowHeaderAndStatsTest","com.qa.tests.TaskFlowHeaderAndStatsTest","tc02_verifyHeaderAndLogo","TC-02: Verify the site header is rendered and the logo is visible","Checks:
 1. The site-header element is present in the DOM
 2. The logo text contains the product name
"
"broken","Sun Apr 12 19:16:31 UTC 2026","Sun Apr 12 19:16:31 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowAddTaskTest","com.qa.tests.TaskFlowAddTaskTest","setUp","setUp",""
"skipped","Sun Apr 12 19:16:33 UTC 2026","Sun Apr 12 19:16:33 UTC 2026","0","Surefire suite","Surefire test","com.example.tests.SampleTests","com.example.tests.SampleTests","testGreeting","testGreeting",""
"skipped","Sun Apr 12 19:16:31 UTC 2026","Sun Apr 12 19:16:31 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowAddTaskTest","com.qa.tests.TaskFlowAddTaskTest","tc10_searchInput_filtersTaskList","TC-10: Verify real-time search narrows the visible task list to matching items only","Steps:
 1. Note the total visible task count (all-filter active)
 2. Type a search keyword known to match a subset of seeded tasks
 3. Verify visible task count is less than total
 4. Verify all visible tasks contain the keyword
 5. Clear search — verify full list reappears
"
"skipped","Sun Apr 12 19:16:33 UTC 2026","Sun Apr 12 19:16:33 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowHeaderAndStatsTest","com.qa.tests.TaskFlowHeaderAndStatsTest","tc05_verifyNavigationLinks","TC-05: Verify all primary navigation links are present in the header","Verifies that Dashboard, My Tasks, and Reports navigation links
are rendered in the top navigation bar.
"
"skipped","Sun Apr 12 19:16:33 UTC 2026","Sun Apr 12 19:16:33 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowHeaderAndStatsTest","com.qa.tests.TaskFlowHeaderAndStatsTest","tc04_verifyStatsStripCounts","TC-04: Verify the stats strip shows non-negative counts for all four KPIs","Reads the four stat-card numbers from the stats strip:
 1. Total Tasks    — should be > 0 (pre-seeded data exists)
 2. In Progress    — should be >= 0
 3. Completed      — should be >= 0
 4. Overdue        — should be >= 0
Also verifies: total = in-progress + completed + overdue
"
"broken","Sun Apr 12 19:16:29 UTC 2026","Sun Apr 12 19:16:29 UTC 2026","2","Surefire suite","Surefire test","com.qa.tests.TaskFlowActivityFeedTest","com.qa.tests.TaskFlowActivityFeedTest","setUp","setUp",""
